"File","Sheet","Row","Source","Type","Field","Value","Message"
"dispatch","Sheet1","436","260300099","DISPATCH_WITHOUT_SALES_ORDER","pboNo","NCLH30000562","Dispatch 260300099 has no matching Sales Order (searched by PBO NCLH30000562, order 251100233, invoice 900003123, chassis MCCJY7PRMTN102311, engine SQRH4J15AGTA60143); it will be imported as a stock dispatch against the physical vehicle only — no Customer, Booking, Sales Order or Seller will be created."
"dispatch","Sheet1","437","260300100","DISPATCH_WITHOUT_SALES_ORDER","pboNo","NCLH30000446","Dispatch 260300100 has no matching Sales Order (searched by PBO NCLH30000446, order 251100119, invoice 900003124, chassis MCCJY7PRMTN102559, engine SQRH4J15AGSM60920); it will be imported as a stock dispatch against the physical vehicle only — no Customer, Booking, Sales Order or Seller will be created."
"dispatch","Sheet1","439","260300111","DISPATCH_WITHOUT_SALES_ORDER","pboNo","NCLH30000421","Dispatch 260300111 has no matching Sales Order (searched by PBO NCLH30000421, order 251100094, invoice 900003222, chassis MCCJY7PRMTN102549, engine SQRH4J15AGSM61019); it will be imported as a stock dispatch against the physical vehicle only — no Customer, Booking, Sales Order or Seller will be created."
"dispatch","Sheet1","440","260300116","DISPATCH_WITHOUT_SALES_ORDER","pboNo","NCLH30000394","Dispatch 260300116 has no matching Sales Order (searched by PBO NCLH30000394, order 251100068, invoice 900003274, chassis MCCJY7PRMTN102385, engine SQRH4J15AGSM61068); it will be imported as a stock dispatch against the physical vehicle only — no Customer, Booking, Sales Order or Seller will be created."
"dispatch","Sheet1","441","260300112","DISPATCH_WITHOUT_SALES_ORDER","pboNo","NCLH30000370","Dispatch 260300112 has no matching Sales Order (searched by PBO NCLH30000370, order 251100048, invoice 900003235, chassis MCCJY7PRMTN102658, engine SQRH4J15AGTA60187); it will be imported as a stock dispatch against the physical vehicle only — no Customer, Booking, Sales Order or Seller will be created."
"dispatch","Sheet1","442","260300113","DISPATCH_WITHOUT_SALES_ORDER","pboNo","NCLH30000540","Dispatch 260300113 has no matching Sales Order (searched by PBO NCLH30000540, order 251100212, invoice 900003251, chassis MCCJY7PRMTN102583, engine SQRH4J15AGSM60811); it will be imported as a stock dispatch against the physical vehicle only — no Customer, Booking, Sales Order or Seller will be created."
"dispatch","Sheet1","443","260300117","DISPATCH_WITHOUT_SALES_ORDER","pboNo","NCLH30000417","Dispatch 260300117 has no matching Sales Order (searched by PBO NCLH30000417, order 251100090, invoice 900003284, chassis MCCJY7PRMTN102624, engine SQRH4J15AGSM60810); it will be imported as a stock dispatch against the physical vehicle only — no Customer, Booking, Sales Order or Seller will be created."
"dispatch","Sheet1","444","260300118","DISPATCH_WITHOUT_SALES_ORDER","pboNo","NCLH30000612","Dispatch 260300118 has no matching Sales Order (searched by PBO NCLH30000612, order 251100282, invoice 900003285, chassis MCCJY7PRMTN102478, engine SQRH4J15AGSM61277); it will be imported as a stock dispatch against the physical vehicle only — no Customer, Booking, Sales Order or Seller will be created."
"dispatch","Sheet1","445","260300119","DISPATCH_WITHOUT_SALES_ORDER","pboNo","NCLH30000527","Dispatch 260300119 has no matching Sales Order (searched by PBO NCLH30000527, order 251100199, invoice 900003286, chassis MCCJY7PRMTN102750, engine SQRH4J15AGSM60974); it will be imported as a stock dispatch against the physical vehicle only — no Customer, Booking, Sales Order or Seller will be created."
"dispatch","Sheet1","446","260300121","DISPATCH_WITHOUT_SALES_ORDER","pboNo","NCLH30000589","Dispatch 260300121 has no matching Sales Order (searched by PBO NCLH30000589, order 251100259, invoice 900003287, chassis MCCJY7PRMTN102656, engine SQRH4J15AGSM60460); it will be imported as a stock dispatch against the physical vehicle only — no Customer, Booking, Sales Order or Seller will be created."
"dispatch","Sheet1","447","260300122","DISPATCH_WITHOUT_SALES_ORDER","pboNo","NCLH30000592","Dispatch 260300122 has no matching Sales Order (searched by PBO NCLH30000592, order 251100262, invoice 900003296, chassis MCCJY7PRMTN102651, engine SQRH4J15AGSM60903); it will be imported as a stock dispatch against the physical vehicle only — no Customer, Booking, Sales Order or Seller will be created."
